path,review_scope,sha256
.github/workflows/release.yml,analyse statique ressources/configuration,d0e69378fa0ede0154ed052c4ff9041c51d41d55662d656ad43fa7c8025b8c19
app/build.gradle.kts,analyse statique ressources/configuration,11aa20601f499b02ca3df9c6cf458d76b029e352bd8093b83323bbf92a40161f
app/proguard-rules.pro,analyse statique ressources/configuration,6cf400bb5a475e8794ab25cfa874a03e4bad31d42db20bd1fbf9fac740ddcfea
app/src/main/AndroidManifest.xml,analyse statique ressources/configuration,bea104bbf448f0370bc9afc9f3c5c588067bdaacdc045011bf377b4eabc4b63e
app/src/main/assets/blocking-authorities.json,analyse statique ressources/configuration,aebfdd34bf177a1000f23632dffc7d317b8a67dfc6938bf945e31827922501c6
app/src/main/java/app/perfectdnsmanager/DnsProviderDetailActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,6c060638bfff2bf9756598f3efef2dc03136a982ab6d642e054c7f684c3eacd3
app/src/main/java/app/perfectdnsmanager/DnsSelectionActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,04e6bcf7611c3e30b4507f1aeeb97ddd459bf8c55c4fc4feb7352294410a1194
app/src/main/java/app/perfectdnsmanager/DnsSpeedtestActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,15ae6616c83a8516be513266956849067aef561fd6f57d84d4a63ab0df8b996a
app/src/main/java/app/perfectdnsmanager/DomainTesterActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,3b01bd1fc9386e8e5e60d668f56d850bfbf74293e0a6c62129e1697a41219963
app/src/main/java/app/perfectdnsmanager/HowToActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,6d4c9997d18f46564b378e41534de983270dc8f7e48948bce467dc0c40286272
app/src/main/java/app/perfectdnsmanager/InternetSpeedtestActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,5e5e9a6e574c77c9ffeec1dcbd54889c68447475a5afe49549b8c4e3734b1a53
app/src/main/java/app/perfectdnsmanager/LanguageSelectionActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,18add248804bd71cc18940584cc66edf57f8fc258a8da3e057ec85ac81047e0c
app/src/main/java/app/perfectdnsmanager/MainActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,8557cc2e68e27ea26006fd00258de035ca233e136f59e81a8c23c0f4ec51b781
app/src/main/java/app/perfectdnsmanager/NotificationActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,e521458c8fb9ba28e47ca89c1332a5c39eea8827c2eae36edf1d21a0c4bc4d37
app/src/main/java/app/perfectdnsmanager/PdmApp.kt,revue des points entree/sortie et lifecycle; analyse statique,a719241ea945da02287c1f0ad31aebb8c3841425065c12e3bfcd4796f31f2184
app/src/main/java/app/perfectdnsmanager/SettingsActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,b8b172965ce949ff9ee7dc23b607f69300ed878082f35242a2b1cea786dfebd4
app/src/main/java/app/perfectdnsmanager/SupportActivity.kt,revue des points entree/sortie et lifecycle; analyse statique,1028d3c1de6fbf8b3a7e1fd905f7cc23ccbeb396d86f29a60618219cac00d8fd
app/src/main/java/app/perfectdnsmanager/adblib/AndroidBase64.java,revue des points entree/sortie et lifecycle; analyse statique,69df6a3d09289996ce01d547eaae6d8ec8113d6bf0863b31de4c94079cd328dc
app/src/main/java/app/perfectdnsmanager/data/ConfigManager.kt,revue chemins sensibles + analyse statique,d0ac587606cd9bf134728d28ba747e19245bd4c877f88210cb66884e47195aa7
app/src/main/java/app/perfectdnsmanager/data/ConfigValidation.kt,revue chemins sensibles + analyse statique,e45a0ebc2df84993a146128e550b09dc1c1c7dc5ad45abeb626a9741d408cbfb
app/src/main/java/app/perfectdnsmanager/data/ControlDProfiles.kt,revue chemins sensibles + analyse statique,21fde990dc0e48cc68ff3c4f0e6c3226ac2ac2a3f5e8478e206f21a2af010b55
app/src/main/java/app/perfectdnsmanager/data/DnsProfile.kt,revue chemins sensibles + analyse statique,10cc6b043d06843662148fc4e7585401535952161b2eb74cdfb31ee19dd77f7a
app/src/main/java/app/perfectdnsmanager/data/DnsRewriteRepository.kt,revue chemins sensibles + analyse statique,530d30f1085979a7419d571b720e85fa68b89151ffda883d8da41c6e3bc8cbab
app/src/main/java/app/perfectdnsmanager/data/DnsRewriteRule.kt,revue chemins sensibles + analyse statique,f4cebcb960c3ba691f46fca4f702bfc2417569a88a9bea9cd2abf984eafc395b
app/src/main/java/app/perfectdnsmanager/data/DnsType.kt,revue chemins sensibles + analyse statique,7a0a75a23d8ecaf663be54242a9b5ee1164896564d6f7a0bd159e1ca142bc5bf
app/src/main/java/app/perfectdnsmanager/data/ProfileCatalog.kt,revue chemins sensibles + analyse statique,a10c3e589d7536d63860b8169dab92becfd62a8d6125aa082ceb088e7a2218ec
app/src/main/java/app/perfectdnsmanager/data/ProfileManager.kt,revue chemins sensibles + analyse statique,1c7b19a32d5b49fd91956e2473a5602dd4da032b442671953aff9493d2846fa2
app/src/main/java/app/perfectdnsmanager/service/AdbDnsManager.kt,revue chemins sensibles + analyse statique,7d4a1df096d60a34b84ad8d6e929cb8de3a686fb6dba98a826d258511e992c3f
app/src/main/java/app/perfectdnsmanager/service/AdbPairingManager.kt,revue chemins sensibles + analyse statique,4b02ac16af6290b4a901e6c565733e8b209a7c41aebd4151b0cefecc2e0f340c
app/src/main/java/app/perfectdnsmanager/service/BootReceiver.kt,revue chemins sensibles + analyse statique,f6e900bbf993f483be854de20e823714ad027997f246293263c6a3b869666375
app/src/main/java/app/perfectdnsmanager/service/DnsVpnService.kt,revue chemins sensibles + analyse statique,46d599c51ef069b0be21cb73aab443ba8292d987f8d2f662bb5d9fc6f36d00e7
app/src/main/java/app/perfectdnsmanager/service/DoQClient.kt,revue chemins sensibles + analyse statique,80e8f71c6917349406dc2168e3f0ed5c82d55d77515b22d8b95b9b2013cee34e
app/src/main/java/app/perfectdnsmanager/service/DotMonitorService.kt,revue chemins sensibles + analyse statique,c171965f35732fa79808072d9f0c3ed3b2230c47712b458bd927eb6fd3ff5d71
app/src/main/java/app/perfectdnsmanager/service/UpdateManager.kt,revue chemins sensibles + analyse statique,78c66c9ba23ccd9441747d59936a23a1fd5ec9e93a21817c94074af2da595dcf
app/src/main/java/app/perfectdnsmanager/ui/AddProfileDialog.kt,revue des points entree/sortie et lifecycle; analyse statique,99e106374fa7eacde4503ed2fe55b730b87e18e1ae0d547158fd03154d2540ee
